Strain Name,Gene,Locus,TetON promoter,Bioactive screen,Unbiased screen,Transcriptional control
trmD-TetOn6.1,trmD,Rv2906c,6,,yes,
lysA-TetOn6.1,lysA,Rv1293,6,,yes,
Rv2747-TetOn6.1,Rv2747,Rv2747,6,,yes,
aroG-TetOn6.3,aroG,Rv2178c,6,,yes,
pyrB-TetOn6.1,pyrB,Rv1380,6,,yes,
grcC1_TetOn 2.1,grcC1,Rv0562,2,,yes,
Rv2439c-TetOn1.3,proB,Rv2439c,1,,yes,
Rv1475c-TetOn 1.1,acn,Rv1475c,1,,yes,
Rv0284-TetOn 1.1,Rv0284,Rv0284,1,,yes,
Rv1133-TetOn 1.1,metE,Rv1133c,1,,yes,
nusA-TetOn 18.1,nusA,Rv2841c,18,,yes,
hemY-DAS-TetOn 18.1,hemY,Rv2677c,18,,yes,
aspB TetOn 18.1,aspB,Rv3565,18,,yes,
fadD30-tetOn-18.2,fadD30,Rv0404,18,,yes,
hemL-tetOn-tetOn-18.2,hemL,Rv0524,18,,yes,
Rv0260c-tetOn-18.2,Rv0260c,Rv0260c,18,,yes,
Rv1832-TetOn 18.3,gcvB,Rv1832,18,,yes,
Rv2201-TetOn 10.1,asnB,Rv2201,10,,yes,
Rv2540c-TetOn 18.1,aroF,Rv2540c,18,,yes,
Rv2773c-TetOn 6.3,dapB,Rv2773c,6,,yes,
Rv1202-TetOn 18.2,dapE,Rv1202,18,,yes,
metA TetOn 6.3,metA,Rv3341,6,,yes,
sucC-tetOn 18.2,sucC,Rv0951,18,,yes,
hemZ-TetOn 10.1,hemZ,Rv1485,10,,yes,
Rv2190c-TetOn 18.1,Rv2190c,Rv2190c,18,,yes,
Rv1783-TetOn 10.2,Rv1783,Rv1783,10,,yes,
mmpl2-tetOn-6.2,mmpL2,Rv0507,6,,yes,
Rv2507-tetOn-18.1,Rv2507,Rv2507,18,,yes,
Rv1836c-TetOn 18.1,Rv1836c,Rv1836c,18,,yes,
Rv0811-TetOn18.1,Rv0811,Rv0811,18,,yes,
Rv0525-TetOn18.1,Rv0525,Rv0525,18,,yes,
Rv0526-TetOn18.1,Rv0526,Rv0526,18,,yes,
cstA-TetOn 18.1,cstA,Rv3063,18,,yes,
Rv3793 (embC)_flag/DAS +pTetON-18_sspB,embC,Rv3793,18,,yes,
Rv3011c (gatA)_flag/DAS +pTetON-18_sspB,gatA,Rv3011c,18,,yes,
Rv3580c (cysS1)_flag/DAS +pTetON-10_sspB,cysS1,Rv3580c,10,,yes,
Rv3009c (gatB)_flag/DAS +pTetON-6_sspB,gatB,Rv3009c,6,,yes,
Rv1018c (glmU)_flag/DAS + pTetON-10 sspB,glmU,Rv1018c,10,,yes,
Rv3255c (manA)_flag/DAS +pTetON-18_sspB,manA,Rv3255c,18,,yes,
Rv2006 (otsB1)_flag/DAS + pTetON-18,otsB1,Rv2006,18,,yes,
Rv1689 (tyrS)_flag/DAS + pTetON-10,tyrS,Rv1689,10,,yes,
Rv1525 (wbbl2)_flag/DAS + pTetON-18,wbbL2,Rv1525,18,,yes,
Rv2235_Flag/DAS + pTetON-18,Rv2235,Rv2235,18,,yes,
guaB2-Flag-DAS-tetON-6,guaB2,Rv3411c,6,,yes,
purL-Flag-DAS-tetON-6,purL,Rv0803,6,,yes,
purM-Flag-DAS-tetON-6,purM,Rv0809,6,,yes,
parB-Flag-DAS-tetON-18,parB,Rv3917c,18,,yes,
thyA-Flag-DAS-tetON-10,thyA,Rv2764c,10,,yes,
nrdF2-Flag-DAS-tetON-6,nrdF2,Rv3048c,6,,yes,
purD-Flag-DAS-tetON-1,purD,Rv0772,1,,yes,
parA-Flag-Das-tetON-2,parA,Rv3918c,2,,yes,
pyrH-Flag-Das-tetON-18,pyrH,Rv2883c,18,,yes,
ftsW-Flag-DAS-tetON-18,ftsW,Rv2154c,18,,yes,
